Zona;CodProv;Year;Population;Populated Area (km2);PM10 population weighted average (ug/m3);PM2.5 population weighted average (ug/m3);PM2.5 premature deaths (ref = 0 ug/m3);PM2.5 premature deaths - lower CI (ref = 0 ug/m3);PM2.5 premature deaths - upper CI (ref = 0 ug/m3);PM2.5 premature deaths (ref = 2.5 ug/m3);PM2.5 years of life lost (ref = 0 ug/m3);PM2.5 years of life lost - lower CI (ref = 0 ug/m3);PM2.5 years of life lost - upper CI (ref = 0 ug/m3);PM2.5 years of life lost (ref = 2.5 ug/m3);NO2 population weighted average (ug/m3);NO2 premature deaths (ref = 20 ug/m3);NO2 premature deaths - lower CI (ref = 20 ug/m3);NO2 premature deaths - upper CI (ref = 20 ug/m3);NO2 premature deaths (ref = 10 ug/m3);NO2 years of life lost (ref = 20 ug/m3);NO2 years of life lost - lower CI (ref = 20 ug/m3);NO2 years of life lost - upper CI (ref = 20 ug/m3);NO2 years of life lost (ref = 10 ug/m3);O3/SOMO35 population weighted average (ug*days/m3);O3/SOMO35 premature deaths;O3/SOMO35 premature deaths - lower CI;O3/SOMO35 premature deaths - upper CI;O3/SOMO10 premature deaths;O3/SOMO35 years of life lost;O3/SOMO35 years of life lost - lower CI;O3/SOMO35 years of life lost - upper CI;O3/SOMO10 years of life lost
León;24;2014;496393;2313;13,3;6,4;153;101;202;95;1778;1167;2342;1096;11,5;0;0;0;62;0;0;0;718;4636,4;15;7;22;0;180;87;266;0
León;24;2015;495725;2313;14,9;7,9;200;131;263;137;2158;1419;2838;1484;6,1;0;0;0;1;0;0;0;11;5041,4;17;8;26;0;194;94;288;0
León;24;2016;495624;2313;12,3;6,4;158;103;207;96;1770;1162;2331;1084;12,2;0;0;1;79;4;2;6;892;4752,6;16;8;23;0;185;89;273;0
León;24;2017;496562;2313;13,3;7,1;182;120;240;119;1966;1292;2588;1287;11,8;0;0;0;73;0;0;0;785;5164,7;18;9;26;0;199;96;295;0
León;24;2018;497954;2313;13;7,8;201;132;264;138;2169;1426;2853;1487;12,1;0;0;0;81;0;0;0;879;4711;16;8;24;0;184;89;272;0
León;24;2019;500928;2313;12,3;7,3;188;123;247;124;2031;1335;2672;1341;12;0;0;0;75;0;0;0;813;5266,7;18;9;27;74;206;100;305;823
Lleida;25;2014;441261;1431;17,5;9,7;203;134;266;151;2350;1548;3086;1756;14,8;0;0;0;99;1;0;1;1144;5350,9;15;7;23;0;184;89;273;0
Lleida;25;2015;440667;1431;19,5;11,8;264;174;346;210;2849;1881;3732;2264;8,9;0;0;0;13;3;2;4;139;5778,8;18;9;26;0;198;96;293;0
Lleida;25;2016;440577;1431;16;9,6;209;138;275;156;2354;1550;3090;1756;16,5;11;6;15;132;120;69;172;1488;4578,1;14;7;20;0;158;76;234;0
Lleida;25;2017;441411;1431;17,1;10,5;236;156;310;182;2551;1682;3347;1960;16,6;13;7;19;137;141;81;202;1476;4990,2;15;7;23;0;171;83;254;0
Lleida;25;2018;442648;1431;17,3;9,8;223;147;293;167;2409;1587;3163;1810;15,6;8;5;12;121;87;50;125;1313;5219,2;16;8;24;0;181;87;267;0
Lleida;25;2019;445292;1431;17,6;10,5;240;158;314;184;2589;1707;3396;1988;15,3;8;5;11;117;87;50;124;1261;6021,1;19;9;28;67;210;101;310;749
Lugo;27;2014;344483;2693;14,7;8,2;134;88;176;94;1555;1023;2045;1087;9,9;0;0;0;27;0;0;0;316;3212,2;7;3;11;0;87;42;128;0
Lugo;27;2015;344019;2693;15,6;7,9;138;91;182;95;1492;982;1963;1024;4,4;0;0;0;0;0;0;0;2;3316,8;8;4;12;0;89;43;131;0
Lugo;27;2016;343949;2693;13,8;7,5;128;84;169;86;1441;947;1896;968;9,5;0;0;0;33;0;0;0;376;3090,7;7;3;11;0;83;40;124;0
Lugo;27;2017;344600;2693;15,4;9,2;163;107;213;119;1754;1155;2303;1289;9,7;0;0;0;40;0;0;0;428;2999,9;7;3;11;0;80;39;119;0
Lugo;27;2018;345566;2693;14,9;8,9;158;104;208;114;1708;1124;2243;1237;9,1;0;0;0;28;0;0;0;301;3620,6;9;4;13;0;98;47;145;0
Lugo;27;2019;347630;2693;13,9;7,7;138;91;182;94;1496;984;1967;1019;9,1;0;0;0;24;0;0;0;259;3389,7;8;4;12;46;92;45;137;517
Madrid;28;2014;6484670;1895;19;9,6;2944;1939;3866;2190;34125;22472;44815;25383;27,5;2148;1243;3041;4678;24892;14404;35252;54218;6069,5;255;123;378;0;3073;1487;4549;0
